"","V1","V2"
"423","Elaenia_frantzii",1
"424","Elaenia_pallatangae",1
"425","Elaenia_martinica",1
"426","Elaenia_fallax",1
"427","Elaenia_strepera",1
"428","Elaenia_ridleyana",1
"429","Elaenia_gigas",1
"430","Suiriri_islerorum",1
"431","Suiriri_suiriri",1
"432","Anairetes_agraphia",0
"433","Anairetes_agilis",0
"434","Anairetes_flavirostris",0
"435","Anairetes_fernandezianus",0
"436","Anairetes_parulus",0
"437","Anairetes_reguloides",0
"438","Anairetes_nigrocristatus",0
"439","Culicivora_caudacuta",0
"440","Serpophaga_munda",0
"441","Serpophaga_subcristata",0
"442","Serpophaga_hypoleuca",0
"443","Polystictus_pectoralis",0
"444","Polystictus_superciliaris",0
"445","Serpophaga_nigricans",0
"446","Serpophaga_cinerea",0
"447","Pseudocolopteryx_sclateri",0
"448","Pseudocolopteryx_acutipennis",0
"449","Pseudocolopteryx_flaviventris",0
"450","Mecocerculus_leucophrys",1
"451","Pseudelaenia_leucospodia",0
"452","Stigmatura_napensis",0
"453","Phyllomyias_griseocapilla",1
"454","Phaeomyias_tumbezana",1
"455","Phaeomyias_murina",1
"456","Nesotriccus_ridgwayi",1
"457","Capsiempis_flaveola",1
"458","Phyllomyias_fasciatus",1
"459","Phyllomyias_griseiceps",1
"460","Tyrannulus_elatus",1
"461","Myiopagis_gaimardii",1
"462","Myiopagis_cotta",1
"463","Myiopagis_flavivertex",0
"464","Myiopagis_viridicata",1
"465","Myiopagis_caniceps",1
"466","Mecocerculus_stictopterus",1
"467","Hirundinea_ferruginea",0
"468","Pyrrhomyias_cinnamomeus",1
"469","Myiophobus_pulcher",0
"470","Myiophobus_ochraceiventris",1
"471","Myiophobus_lintoni",1
"472","Piprites_griseiceps",1
"473","Piprites_pileata",1
"474","Piprites_chloris",1
"475","Lepidothrix_serena",1
"476","Lepidothrix_vilasboasi",1
"477","Lepidothrix_coronata",1
"478","Lepidothrix_nattereri",1
"479","Lepidothrix_suavissima",1
"480","Manacus_candei",1
"481","Manacus_aurantiacus",1
"482","Manacus_vitellinus",1
"483","Manacus_manacus",1
"484","Heterocercus_flavivertex",1
"485","Heterocercus_linteatus",1
"486","Heterocercus_aurantiivertex",1
"487","Pipra_rubrocapilla",1
"488","Pipra_erythrocephala",1
"489","Pipra_mentalis",1
"490","Machaeropterus_deliciosus",1
"491","Pipra_pipra",1
"492","Pipra_cornuta",1
"493","Machaeropterus_pyrocephalus",1
"494","Pipra_filicauda",1
"495","Pipra_fasciicauda",1
"496","Pipra_aureola",1
"497","Masius_chrysopterus",1
"498","Corapipo_leucorrhoa",1
"499","Corapipo_gutturalis",1
"500","Corapipo_altera",1
"501","Ilicura_militaris",1
"502","Chiroxiphia_boliviana",1
"503","Chiroxiphia_pareola",1
"504","Chiroxiphia_lanceolata",1
"505","Chiroxiphia_caudata",1
"506","Chiroxiphia_linearis",1
"507","Antilophia_galeata",1
"508","Antilophia_bokermanni",1
"509","Xenopipo_holochlora",1
"510","Xenopipo_flavicapilla",1
"511","Xenopipo_atronitens",1
"512","Xenopipo_uniformis",1
"513","Tyranneutes_virescens",1
"514","Tyranneutes_stolzmanni",1
"515","Neopelma_aurifrons",1
"516","Neopelma_sulphureiventer",1
"517","Neopelma_pallescens",1
"518","Neopelma_chrysocephalum",1
"519","Neopelma_chrysolophum",1
"520","Pipreola_arcuata",1
"521","Pipreola_formosa",1
"522","Pipreola_whitelyi",1
"523","Pipreola_pulchra",1
"524","Pipreola_frontalis",1
"525","Pipreola_aureopectus",1
"526","Pipreola_lubomirskii",1
"527","Pipreola_chlorolepidota",1
"528","Pipreola_riefferii",1
"529","Pipreola_jucunda",1
"530","Pipreola_intermedia",1
"531","Ampelioides_tschudii",1
"532","Haematoderus_militaris",1
"533","Calyptura_cristata",1
"534","Phibalura_flavirostris",1
"535","Pyroderus_scutatus",1
"536","Cephalopterus_ornatus",1
"537","Cephalopterus_glabricollis",1
"538","Cephalopterus_penduliger",1
"539","Perissocephalus_tricolor",1
"540","Querula_purpurata",1
"541","Cotinga_ridgwayi",1
"542","Cotinga_amabilis",1
"543","Cotinga_maculata",1
"544","Cotinga_cotinga",1
"545","Cotinga_maynana",1
"546","Cotinga_cayana",1
"547","Cotinga_nattererii",1
"548","Tijuca_condita",1
"549","Tijuca_atra",1
"550","Lipaugus_unirufus",1
"551","Lipaugus_weberi",1
"552","Lipaugus_vociferans",1
"553","Lipaugus_lanioides",1
"554","Lipaugus_uropygialis",1
"555","Lipaugus_streptophorus",1
"556","Lipaugus_fuscocinereus",1
"557","Procnias_tricarunculatus",1
"558","Procnias_albus",1
"559","Procnias_nudicollis",1
"560","Procnias_averano",1
"561","Porphyrolaema_porphyrolaema",1
"562","Gymnoderus_foetidus",1
"563","Conioptilon_mcilhennyi",1
"564","Carpodectes_nitidus",1
"565","Carpodectes_antoniae",1
"566","Carpodectes_hopkei",1
"567","Xipholena_atropurpurea",1
"568","Xipholena_lamellipennis",1
"569","Xipholena_punicea",1
"570","Carpornis_cucullata",1
"571","Carpornis_melanocephala",1
"572","Snowornis_cryptolophus",1
"573","Snowornis_subalaris",1
"574","Rupicola_peruvianus",1
"575","Rupicola_rupicola",1
"576","Phoenicircus_carnifex",1
"577","Phoenicircus_nigricollis",1
"578","Zaratornis_stresemanni",1
"579","Ampelion_rubrocristatus",1
"580","Ampelion_rufaxilla",1
"581","Doliornis_sclateri",1
"582","Doliornis_remseni",1
"583","Phytotoma_rara",1
"584","Phytotoma_raimondii",1
"585","Phytotoma_rutila",1
"586","Thamnistes_anabatinus",1
"587","Pygiptila_stellaris",0
"588","Myrmornis_torquata",0
"589","Sakesphorus_cristatus",0
"590","Sakesphorus_bernardi",1
"591","Thamnophilus_bridgesi",0
"592","Thamnophilus_atrinucha",0
"593","Thamnophilus_cryptoleucus",0
"594","Thamnophilus_nigrocinereus",0
"595","Thamnophilus_stictocephalus",0
"596","Thamnophilus_punctatus",0
"597","Thamnophilus_sticturus",0
"598","Thamnophilus_pelzelni",0
"599","Thamnophilus_ambiguus",0
"600","Thamnophilus_caerulescens",1
"601","Thamnophilus_unicolor",0
