Name,frugivoro,carotenoide,Musse
Drymophila_malura,0,0,0
Drymophila_squamata,0,0,0
Drymophila_caudata,0,0,0
Drymophila_devillei,0,0,0
Cercomacra_ferdinandi,0,0,0
Cercomacra_melanaria,0,0,0
Cercomacra_cinerascens,0,0,0
Cercomacra_carbonaria,0,0,0
Cercomacra_nigricans,0,0,0
Cercomacra_brasiliana,0,0,0
Cercomacra_manu,0,0,0
Cercomacra_nigrescens,0,0,0
Cercomacra_tyrannina,0,0,0
Cercomacra_serva,0,0,0
Cercomacra_parkeri,0,0,0
Cercomacra_laeta,0,0,0
Phaenostictus_mcleannani,0,0,0
Pithys_castaneus,0,0,0
Pithys_albifrons,0,0,0
Phlegopsis_erythroptera,0,0,0
Phlegopsis_nigromaculata,0,0,0
Skutchia_borbae,0,0,0
Rhegmatorhina_hoffmannsi,0,0,0
Rhegmatorhina_berlepschi,0,0,0
Rhegmatorhina_gymnops,0,0,0
Rhegmatorhina_cristata,0,0,0
Rhegmatorhina_melanosticta,0,0,0
Gymnopithys_leucaspis,0,0,0
Gymnopithys_rufigula,0,0,0
Gymnopithys_lunulatus,0,0,0
Gymnopithys_salvini,0,0,0
Willisornis_poecilinotus,0,0,0
Myrmeciza_longipes,0,0,0
Pyriglena_atra,0,0,0
Pyriglena_leucoptera,0,0,0
Pyriglena_leuconota,0,0,0
Myrmeciza_fortis,0,0,0
Myrmeciza_immaculata,0,0,0
Myrmeciza_melanoceps,0,0,0
Myrmeciza_goeldii,0,0,0
Gymnocichla_nudiceps,0,0,0
Percnostola_rufifrons,1,0,1
Percnostola_arenarum,0,0,0
Percnostola_lophotes,0,0,0
Rhopornis_ardesiacus,0,0,0
Myrmoborus_leucophrys,0,0,0
Myrmoborus_myotherinus,0,0,0
Myrmoborus_lugubris,0,0,0
Hypocnemoides_melanopogon,0,0,0
Hypocnemoides_maculicauda,0,0,0
Hylophylax_naevioides,0,1,3
Hylophylax_naevius,0,1,3
Hylophylax_punctulatus,0,1,3
Myrmeciza_ferruginea,0,0,0
Myrmeciza_squamosa,0,0,0
Myrmeciza_loricata,0,0,0
Myrmeciza_disjuncta,0,0,0
Myrmeciza_griseiceps,0,0,0
Myrmeciza_ruficauda,0,0,0
Myrmeciza_laemosticta,0,0,0
Myrmeciza_berlepschi,0,0,0
Myrmeciza_nigricauda,0,0,0
Myrmeciza_exsul,0,0,0
Myrmeciza_hyperythra,0,0,0
Schistocichla_leucostigma,0,0,0
Schistocichla_caurensis,0,0,0
Schistocichla_rufifacies,0,0,0
Schistocichla_schistacea,0,0,0
Sclateria_naevia,0,0,0
Myrmotherula_klagesi,0,0,0
Myrmotherula_longicauda,0,0,0
Myrmotherula_minor,0,0,0
Myrmotherula_gularis,0,0,0
Myrmotherula_brachyura,0,1,3
Myrmotherula_urosticta,0,0,0
Myrmotherula_ignota,0,1,3
Myrmotherula_unicolor,0,0,0
Myrmotherula_ambigua,0,1,3
