carotenoide,JETZ,IOC,Name,HBW,Familia,frugivoro
1,Hemitriccus josephinae,Hemitriccus josephinae,Hemitriccus_josephinae,,Tyrannidae,0
1,Hemitriccus rufigularis,Hemitriccus rufigularis,Hemitriccus_rufigularis,,Tyrannidae,0
1,Hemitriccus margaritaceiventer,Hemitriccus margaritaceiventer,Hemitriccus_margaritaceiventer,,Tyrannidae,0
1,Hemitriccus nidipendulus,Hemitriccus nidipendulus,Hemitriccus_nidipendulus,,Tyrannidae,0
1,Hemitriccus iohannis,Hemitriccus iohannis,Hemitriccus_iohannis,,Tyrannidae,0
1,Hemitriccus cinnamomeipectus,Hemitriccus cinnamomeipectus,Hemitriccus_cinnamomeipectus,,Tyrannidae,0
1,Hemitriccus striaticollis,Hemitriccus striaticollis,Hemitriccus_striaticollis,,Tyrannidae,0
1,Hemitriccus obsoletus,Hemitriccus obsoletus,Hemitriccus_obsoletus,,Tyrannidae,0
1,Hemitriccus minimus,Hemitriccus minimus,Hemitriccus_minimus,,Tyrannidae,0
0,Cnipodectes superrufus,Cnipodectes superrufus,Cnipodectes_superrufus,,Tyrannidae,0
0,Cnipodectes subbrunneus,Cnipodectes subbrunneus,Cnipodectes_subbrunneus,,Tyrannidae,0
1,Taeniotriccus andrei,Taeniotriccus andrei,Taeniotriccus_andrei,,Tyrannidae,0
1,Leptopogon taczanowskii,Leptopogon taczanowskii,Leptopogon_taczanowskii,,Tyrannidae,1
1,Leptopogon superciliaris,Leptopogon superciliaris,Leptopogon_superciliaris,,Tyrannidae,1
1,Leptopogon amaurocephalus,Leptopogon amaurocephalus,Leptopogon_amaurocephalus,,Tyrannidae,1
1,Leptopogon rufipectus,Leptopogon rufipectus,Leptopogon_rufipectus,,Tyrannidae,1
1,Mionectes macconnelli,Mionectes macconnelli,Mionectes_macconnelli,,Tyrannidae,1
1,Mionectes rufiventris,Mionectes rufiventris,Mionectes_rufiventris,,Tyrannidae,1
1,Mionectes oleagineus,Mionectes oleagineus,Mionectes_oleagineus,,Tyrannidae,1
1,Mionectes olivaceus,Mionectes olivaceus,Mionectes_olivaceus,,Tyrannidae,1
1,Mionectes striaticollis,Mionectes striaticollis,Mionectes_striaticollis,,Tyrannidae,1
1,Phylloscartes oustaleti,Phylloscartes oustaleti,Phylloscartes_oustaleti,,Tyrannidae,0
1,Phylloscartes parkeri,Phylloscartes parkeri,Phylloscartes_parkeri,,Tyrannidae,0
1,Phylloscartes paulista,Phylloscartes paulista,Phylloscartes_paulista,,Tyrannidae,0
1,Phylloscartes difficilis,Phylloscartes difficilis,Phylloscartes_difficilis,,Tyrannidae,0
1,Phylloscartes gualaquizae,Phylloscartes gualaquizae,Phylloscartes_gualaquizae,,Tyrannidae,0
1,Phylloscartes roquettei,Phylloscartes roquettei,Phylloscartes_roquettei,,Tyrannidae,0
1,Phylloscartes flavovirens,Phylloscartes flavovirens,Phylloscartes_flavovirens,,Tyrannidae,0
1,Phylloscartes ventralis,Phylloscartes ventralis,Phylloscartes_ventralis,,Tyrannidae,0
1,Phylloscartes beckeri,Phylloscartes beckeri,Phylloscartes_beckeri,,Tyrannidae,0
1,Phylloscartes nigrifrons,Phylloscartes nigrifrons,Phylloscartes_nigrifrons,,Tyrannidae,1
1,Phylloscartes ceciliae,Phylloscartes ceciliae,Phylloscartes_ceciliae,,Tyrannidae,0
1,Phylloscartes eximius,Pogonotriccus eximius,Phylloscartes_eximius,,Tyrannidae,0
1,Phylloscartes poecilotis,Pogonotriccus poecilotis,Phylloscartes_poecilotis,,Tyrannidae,0
1,Phylloscartes flaviventris,Phylloscartes flaviventris,Phylloscartes_flaviventris,,Tyrannidae,0
1,Phylloscartes sylviolus,Phylloscartes sylviolus,Phylloscartes_sylviolus,,Tyrannidae,0
1,Phylloscartes kronei,Phylloscartes kronei,Phylloscartes_kronei,,Tyrannidae,1
1,Phylloscartes orbitalis,Pogonotriccus orbitalis,Phylloscartes_orbitalis,,Tyrannidae,0
1,Phylloscartes ophthalmicus,Pogonotriccus ophthalmicus,Phylloscartes_ophthalmicus,,Tyrannidae,0
1,Phylloscartes superciliaris,Phylloscartes superciliaris,Phylloscartes_superciliaris,,Tyrannidae,1
1,Phylloscartes virescens,Phylloscartes virescens,Phylloscartes_virescens,,Tyrannidae,0
0,Corythopis torquatus,Corythopis torquatus,Corythopis_torquatus,,Tyrannidae,0
0,Corythopis delalandi,Corythopis delalandi,Corythopis_delalandi,,Tyrannidae,0
0,Pseudotriccus pelzelni,Pseudotriccus pelzelni,Pseudotriccus_pelzelni,,Tyrannidae,0
0,Pseudotriccus simplex,Pseudotriccus simplex,Pseudotriccus_simplex,,Tyrannidae,0
0,Pseudotriccus ruficeps,Pseudotriccus ruficeps,Pseudotriccus_ruficeps,,Tyrannidae,0
1,Platyrinchus leucoryphus,Platyrinchus leucoryphus,Platyrinchus_leucoryphus,,Tyrannidae,0
1,Platyrinchus coronatus,Platyrinchus coronatus,Platyrinchus_coronatus,,Tyrannidae,0
0,Platyrinchus platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,,Tyrannidae,0
1,Platyrinchus saturatus,Platyrinchus saturatus,Platyrinchus_saturatus,,Tyrannidae,0
1,Platyrinchus mystaceus,Platyrinchus mystaceus,Platyrinchus_mystaceus,,Tyrannidae,0
1,Platyrinchus cancrominus,Platyrinchus cancrominus,Platyrinchus_cancrominus,,Tyrannidae,1
0,Neopipo cinnamomea,Neopipo cinnamomea,Neopipo_cinnamomea,,Tyrannidae,0
0,Polioxolmis rufipennis,Polioxolmis rufipennis,Polioxolmis_rufipennis,,Tyrannidae,0
0,Cnemarchus erythropygius,Cnemarchus erythropygius,Cnemarchus_erythropygius,,Tyrannidae,0
0,Myiotheretes pernix,Myiotheretes pernix,Myiotheretes_pernix,,Tyrannidae,0
0,Myiotheretes striaticollis,Myiotheretes striaticollis,Myiotheretes_striaticollis,,Tyrannidae,0
0,Myiotheretes fumigatus,Myiotheretes fumigatus,Myiotheretes_fumigatus,,Tyrannidae,0
0,Myiotheretes fuscorufus,Myiotheretes fuscorufus,Myiotheretes_fuscorufus,,Tyrannidae,0
0,Xolmis cinereus,Xolmis cinereus,Xolmis_cinereus,,Tyrannidae,0
0,Xolmis dominicanus,Heteroxolmis dominicana,Xolmis_dominicanus,,Tyrannidae,0
0,Xolmis coronatus,Xolmis coronatus,Xolmis_coronatus,,Tyrannidae,0
0,Xolmis rubetra,Xolmis rubetra,Xolmis_rubetra,,Tyrannidae,0
0,Neoxolmis rufiventris,Neoxolmis rufiventris,Neoxolmis_rufiventris,,Tyrannidae,0
0,Agriornis albicauda,Agriornis albicauda,Agriornis_albicauda,,Tyrannidae,0
0,Agriornis montanus,Agriornis montanus,Agriornis_montanus,,Tyrannidae,0
0,Agriornis micropterus,Agriornis micropterus,Agriornis_micropterus,,Tyrannidae,0
0,Agriornis lividus,Agriornis lividus,Agriornis_lividus,,Tyrannidae,0
0,Agriornis murinus,Agriornis murinus,Agriornis_murinus,,Tyrannidae,0
0,Xolmis pyrope,Xolmis pyrope,Xolmis_pyrope,,Tyrannidae,1
0,Muscipipra vetula,Muscipipra vetula,Muscipipra_vetula,,Tyrannidae,0
0,Xolmis irupero,Xolmis irupero,Xolmis_irupero,,Tyrannidae,0
