Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
117	-3.6723	-7.4143	3.74201	0.003854208	0.0009913873	3.65889	2.34823	89.4481	139.373	0.786683	0.213317
118	-3.85875	-8.0222	4.16345	0.003854208	0.0009913873	5.79566	0.795561	56.4699	411.383	0.213317	0.786683
119	-4.60753	-8.16212	3.55459	0.003854208	0.0009913873	8.04255	0.938412	40.6936	348.76	0.123827	0.876173
120	-3.45838	-7.3909	3.93252	0.003854208	0.0009913873	5.81374	1.07998	56.2943	303.043	0.816492	0.183508
121	-3.12686	-7.79894	4.67208	0.003854208	0.0009913873	5.05047	0.391403	64.802	836.173	0.384765	0.615235
122	-4.38307	-7.38271	2.99964	0.003854208	0.0009913873	10.1197	1.13462	32.341	288.448	0.827085	0.172915
123	-6.15069	-7.33208	1.18139	0.003854208	0.0009913873	18.598	1.79344	17.5976	182.488	0.894557	0.105443
124	-3.04184	-7.56943	4.52759	0.003854208	0.0009913873	4.30031	0.805224	76.1063	406.447	0.60581	0.39419
125	-3.83178	-7.27203	3.44025	0.003854208	0.0009913873	10.7225	0.224426	30.5227	1458.3	0.97913	0.0208703
126	-5.33801	-8.33327	2.99526	0.003854208	0.0009913873	13.2255	0.220764	24.7462	1482.49	0.0300898	0.96991
127	-3.3378	-7.36877	4.03097	0.003854208	0.0009913873	7.50062	0.508052	43.6338	644.188	0.845318	0.154682
128	-4.62865	-7.53816	2.90951	0.003854208	0.0009913873	7.50062	2.15476	43.6338	151.887	0.640048	0.359952
129	-4.36881	-7.7738	3.40499	0.003854208	0.0009913873	6.53961	1.62343	50.0458	201.598	0.406579	0.593421
130	-4.80066	-7.38052	2.57986	0.003854208	0.0009913873	6.53961	3.43473	50.0458	95.2857	0.829934	0.170066
131	-8.7613	-8.08739	-0.673916	0.003854208	0.0009913873	25.4244	3.86559	12.8727	84.665	0.170066	0.829934
132	-5.53891	-7.46573	1.92682	0.003854208	0.0009913873	4.18489	7.90147	78.2053	41.4202	0.723591	0.276409
133	-7.37104	-7.84807	0.477028	0.003854208	0.0009913873	4.18489	15.7229	78.2053	20.8155	0.343688	0.656312
134	-6.99845	-7.58719	0.588745	0.003854208	0.0009913873	10.5027	7.75521	31.1617	42.2014	0.586832	0.413168
